bet_band,Season,Week,bets,wins,hit_rate,roi,avg_market_prob,avg_edge_governed,avg_close_edge,avg_clv,beat_close_rate,avg_confidence_score
Balanced,2025,2,1,0,0.0,-1.0,0.574468085106383,0.0168111748150434,0.0168111748150434,0.0168111748150434,1.0,0.0168111748150434
Balanced,2025,3,3,3,1.0,0.7585585585585587,0.5692951015531661,0.0413517955099252,0.0413517955099252,0.0413517955099252,1.0,0.0413517955099252
Balanced,2025,4,1,0,0.0,-1.0,0.5633187772925764,0.0560517429748025,0.0560517429748025,0.0560517429748025,1.0,0.05605174297480249
Balanced,2025,5,2,2,1.0,0.8846153846153846,0.5326086956521738,0.03421156049495645,0.03421156049495645,0.03421156049495645,1.0,0.03421156049495645
Balanced,2025,7,1,0,0.0,-1.0,0.5780590717299579,0.039417470197082,0.039417470197082,0.039417470197082,1.0,0.039417470197082
Balanced,2025,12,2,0,0.0,-1.0,0.5287799362729982,0.053286251896380255,0.053286251896380255,0.053286251896380255,1.0,0.053286251896380255
Balanced,2025,14,1,0,0.0,-1.0,0.5121951219512195,0.0469404200072347,0.0469404200072347,0.0469404200072347,1.0,0.0469404200072347
Balanced,2025,15,1,0,0.0,-1.0,0.5098039215686274,0.0398029660270476,0.0398029660270476,0.0398029660270476,1.0,0.039802966027047595
High Confidence,2020,3,1,0,0.0,-1.0,0.4651162790697674,0.0439746005530222,0.0439746005530222,0.0439746005530222,1.0,0.0439746005530222
High Confidence,2020,6,1,1,1.0,1.12,0.4716981132075472,0.0550042433175621,0.0550042433175621,0.0550042433175621,1.0,0.055004243317562096
High Confidence,2020,10,1,0,0.0,-1.0,0.4761904761904761,0.039757428773643,0.039757428773643,0.039757428773643,1.0,0.039757428773642994
High Confidence,2020,13,1,1,1.0,0.9090909090909092,0.5238095238095238,0.0301384526839791,0.0301384526839791,0.0301384526839791,1.0,0.0301384526839791
High Confidence,2020,17,1,1,1.0,0.847457627118644,0.5412844036697247,0.0377032818789895,0.0377032818789895,0.0377032818789895,1.0,0.0377032818789895
High Confidence,2021,3,1,1,1.0,0.9090909090909092,0.5238095238095238,0.041713586306266,0.041713586306266,0.041713586306266,1.0,0.041713586306266
High Confidence,2021,4,2,1,0.5,0.050000000000000044,0.4761904761904761,0.057722558722443695,0.057722558722443695,0.057722558722443695,1.0,0.057722558722443695
High Confidence,2021,5,2,2,1.0,0.8712121212121213,0.5346320346320346,0.0271318664320142,0.0271318664320142,0.0271318664320142,1.0,0.0271318664320142
