game_id,Season,Week,game_date,away_team,home_team,book,market,side,odds,pred_home_margin,pred_total,model_prob,implied_prob,edge
2020_2020-12-21_steelers_at_bengals,2020,Week 15,2020-12-21,Steelers,Bengals,testbook,moneyline,home,-110,12.88260596104935,45.32867389606401,0.9536046422680498,0.5238095238095238,0.4297951184585259
2017_2017-11-26_bears_at_eagles,2017,Week 12,2017-11-26,Bears,Eagles,testbook,moneyline,home,-110,18.78870967033622,34.19900082458522,0.9524360111222392,0.5238095238095238,0.42862648731271535
2018_2018-10-14_chiefs_at_patriots,2018,Week 6,2018-10-14,Chiefs,Patriots,testbook,moneyline,home,-110,8.06814808764734,79.86599009258497,0.9514307582453582,0.5238095238095238,0.42762123443583433
2018_2018-12-30_browns_at_ravens,2018,Week 17,2018-12-30,Browns,Ravens,testbook,moneyline,home,-110,5.307918473378084,52.58784267507882,0.9510977926904158,0.5238095238095238,0.427288268880892
2018_2018-11-25_giants_at_eagles,2018,Week 12,2018-11-25,Giants,Eagles,testbook,moneyline,home,-110,4.476886423178281,41.87356161731629,0.9508805840363967,0.5238095238095238,0.4270710602268729
2017_2018-01-13_falcons_at_eagles,2017,Divisional Playoffs,2018-01-13,Falcons,Eagles,testbook,moneyline,home,-110,10.087779360827856,25.11169011082734,0.9501680158495563,0.5238095238095238,0.4263584920400325
2017_2017-11-27_texans_at_ravens,2017,Week 12,2017-11-27,Texans,Ravens,testbook,moneyline,home,-110,7.371699420244053,39.75003324217425,0.9495491881388172,0.5238095238095238,0.42573966432929333
2017_2017-12-24_buccaneers_at_panthers,2017,Week 16,2017-12-24,Buccaneers,Panthers,testbook,moneyline,home,-110,7.366249121017945,40.24611019619075,0.9493384144216802,0.5238095238095238,0.4255288906121564
2020_2020-10-11_colts_at_browns,2020,Week 5,2020-10-11,Colts,Browns,testbook,moneyline,home,-110,10.403492141541628,52.66066603546087,0.948962676632659,0.5238095238095238,0.42515315282313515
2019_2019-09-22_bengals_at_bills,2019,Week 3,2019-09-22,Bengals,Bills,testbook,moneyline,home,-110,8.632167603419733,38.36775818949513,0.9488218823536216,0.5238095238095238,0.4250123585440978
2017_2017-09-11_saints_at_vikings,2017,Week 1,2017-09-11,Saints,Vikings,testbook,moneyline,home,-110,11.469686190246172,47.91192440173992,0.9488069903886304,0.5238095238095238,0.42499746657910653
2019_2019-10-03_rams_at_seahawks,2019,Week 5,2019-10-03,Rams,Seahawks,testbook,moneyline,home,-110,7.158003668823564,57.666287270961774,0.948250575436006,0.5238095238095238,0.42444105162648216
2018_2018-10-07_giants_at_panthers,2018,Week 5,2018-10-07,Giants,Panthers,testbook,moneyline,home,-110,5.707361901797448,62.85330070617376,0.9473918952992342,0.5238095238095238,0.42358237148971034
2021_2021-10-03_giants_at_saints,2021,Week 4,2021-10-03,Giants,Saints,testbook,moneyline,home,-110,9.17734784538301,44.64388486175402,0.9472186573188972,0.5238095238095238,0.42340913350937337
2018_2018-12-02_49ers_at_seahawks,2018,Week 13,2018-12-02,49ers,Seahawks,testbook,moneyline,home,-110,15.180519877473932,57.61027518832646,0.9472165875423528,0.5238095238095238,0.423407063732829
2019_2019-11-03_redskins_at_bills,2019,Week 9,2019-11-03,,Bills,testbook,moneyline,home,-110,13.60269995977056,39.03902317843435,0.9469103259615708,0.5238095238095238,0.42310080215204693
2019_2019-10-28_dolphins_at_steelers,2019,Week 8,2019-10-28,Dolphins,Steelers,testbook,moneyline,home,-110,15.201566753831578,42.874638066330846,0.9468929266593316,0.5238095238095238,0.4230834028498077
2020_2020-12-13_jets_at_seahawks,2020,Week 14,2020-12-13,Jets,Seahawks,testbook,moneyline,home,-110,21.238334438642543,43.446750371375146,0.9468788208999394,0.5238095238095238,0.4230692970904155
2017_2017-12-10_raiders_at_chiefs,2017,Week 14,2017-12-10,Raiders,Chiefs,testbook,moneyline,home,-110,14.164163866259123,42.293371111373936,0.946423401055874,0.5238095238095238,0.42261387724635013
2021_2021-09-20_lions_at_packers,2021,Week 2,2021-09-20,Lions,Packers,testbook,moneyline,home,-110,15.437155083324466,52.822144543069086,0.9459902626539212,0.5238095238095238,0.42218073884439733
2020_2021-01-16_rams_at_packers,2020,Divisional Playoffs,2021-01-16,Rams,Packers,testbook,moneyline,home,-110,13.30358469262118,47.13743897214745,0.9449063181151034,0.5238095238095238,0.42109679430557956
2019_2019-09-08_bengals_at_seahawks,2019,Week 1,2019-09-08,Bengals,Seahawks,testbook,moneyline,home,-110,6.046402982111821,42.97388449693848,0.944846620674746,0.5238095238095238,0.42103709686522217
2017_2017-12-24_browns_at_bears,2017,Week 16,2017-12-24,Browns,Bears,testbook,moneyline,home,-110,15.544455418149854,23.80543998846346,0.9445722689788164,0.5238095238095238,0.4207627451692926
2018_2018-10-14_colts_at_jets,2018,Week 6,2018-10-14,Colts,Jets,testbook,moneyline,home,-110,10.308317409684143,77.2295317003795,0.944443143266969,0.5238095238095238,0.42063361945744515
2018_2018-11-01_raiders_at_49ers,2018,Week 9,2018-11-01,Raiders,49ers,testbook,moneyline,home,-110,19.293119434883646,38.818256452682114,0.9443745170841314,0.5238095238095238,0.4205649932746076
2017_2017-12-31_bears_at_vikings,2017,Week 17,2017-12-31,Bears,Vikings,testbook,moneyline,home,-110,10.63365810267294,31.26099997998215,0.9443255471101876,0.5238095238095238,0.42051602330066373
2021_2021-10-17_chargers_at_ravens,2021,Week 6,2021-10-17,Chargers,Ravens,testbook,moneyline,home,-110,14.170572767227672,41.110024142640185,0.9438616197463366,0.5238095238095238,0.4200520959368128
2020_2020-11-08_bears_at_titans,2020,Week 9,2020-11-08,Bears,Titans,testbook,moneyline,home,-110,8.610889108160775,41.58473761665514,0.9435523703834238,0.5238095238095238,0.41974284657389993
2018_2019-01-12_cowboys_at_rams,2018,Divisional Playoffs,2019-01-12,Cowboys,Rams,testbook,moneyline,home,-110,9.780697002322013,51.95672227551002,0.9432742979154288,0.5238095238095238,0.419464774105905
2019_2019-12-12_jets_at_ravens,2019,Week 15,2019-12-12,Jets,Ravens,testbook,moneyline,home,-110,18.405068678518457,58.0398833150102,0.9432616117146472,0.5238095238095238,0.41945208790512334
2017_2017-09-24_broncos_at_bills,2017,Week 3,2017-09-24,Broncos,Bills,testbook,moneyline,home,-110,8.876162867945853,44.00884715118259,0.9429995104448268,0.5238095238095238,0.41918998663530294
2017_2017-11-30_redskins_at_cowboys,2017,Week 13,2017-11-30,,Cowboys,testbook,moneyline,home,-110,14.897146867619496,54.51550502469881,0.9429361054761716,0.5238095238095238,0.41912658166664774
2019_2019-09-08_falcons_at_vikings,2019,Week 1,2019-09-08,Falcons,Vikings,testbook,moneyline,home,-110,14.71399776457204,40.27667383861375,0.9427026067227152,0.5238095238095238,0.4188930829131914
2017_2017-12-10_titans_at_cardinals,2017,Week 14,2017-12-10,Titans,Cardinals,testbook,moneyline,home,-110,11.177778414784877,19.906990847910546,0.9426816394493774,0.5238095238095238,0.4188721156398536
2017_2017-12-24_bills_at_patriots,2017,Week 16,2017-12-24,Bills,Patriots,testbook,moneyline,home,-110,16.574416959194934,52.04265019989628,0.9425746979281624,0.5238095238095238,0.41876517411863856
2018_2018-09-17_seahawks_at_bears,2018,Week 2,2018-09-17,Seahawks,Bears,testbook,moneyline,home,-110,10.448706969921815,41.36301191401986,0.9424003376140268,0.5238095238095238,0.4185908138045029
2020_2020-11-15_texans_at_browns,2020,Week 10,2020-11-15,Texans,Browns,testbook,moneyline,home,-110,10.294003712964386,20.979215558719652,0.9423231587202728,0.5238095238095238,0.418513634910749
2019_2019-09-15_saints_at_rams,2019,Week 2,2019-09-15,Saints,Rams,testbook,moneyline,home,-110,11.504236519898548,39.3493253203264,0.9422174853642606,0.5238095238095238,0.4184079615547368
2018_2018-10-07_dolphins_at_bengals,2018,Week 5,2018-10-07,Dolphins,Bengals,testbook,moneyline,home,-110,12.131559316372028,39.96302059482954,0.9419511078810398,0.5238095238095238,0.4181415840715159
2020_2020-09-27_football_team_at_browns,2020,Week 3,2020-09-27,,Browns,testbook,moneyline,home,-110,12.923358961913625,54.75007699276346,0.9407457862351992,0.5238095238095238,0.4169362624256754
