Season,Week,game_date,home_team,away_team,has_odds
2018,6,2018-10-14,Bengals,Steelers,
2018,6,2018-10-15,Packers,49ers,
2018,7,2018-10-18,Cardinals,Broncos,
2018,7,2018-10-21,Chiefs,Bengals,
2018,7,2018-10-21,Colts,Bills,
2018,7,2018-10-21,Buccaneers,Browns,
2018,7,2018-10-21,Redskins,Cowboys,
2018,7,2018-10-21,Dolphins,Lions,
2018,7,2018-10-21,Eagles,Panthers,
2018,7,2018-10-21,Bears,Patriots,
2018,7,2018-10-21,49ers,Rams,
2018,7,2018-10-21,Ravens,Saints,
2018,7,2018-10-21,Jaguars,Texans,
2018,7,2018-10-21,Chargers,Titans,
2018,7,2018-10-21,Jets,Vikings,
2018,7,2018-10-22,Falcons,Giants,
2018,8,2018-10-25,Texans,Dolphins,
2018,8,2018-10-28,Cardinals,49ers,
2018,8,2018-10-28,Chiefs,Broncos,
2018,8,2018-10-28,Steelers,Browns,
2018,8,2018-10-28,Bengals,Buccaneers,
2018,8,2018-10-28,Raiders,Colts,
2018,8,2018-10-28,Jaguars,Eagles,
2018,8,2018-10-28,Bears,Jets,
2018,8,2018-10-28,Rams,Packers,
2018,8,2018-10-28,Panthers,Ravens,
2018,8,2018-10-28,Giants,Redskins,
2018,8,2018-10-28,Vikings,Saints,
2018,8,2018-10-28,Lions,Seahawks,
2018,8,2018-10-29,Bills,Patriots,
2018,9,2018-11-01,49ers,Raiders,
2018,9,2018-11-04,Bills,Bears,
2018,9,2018-11-04,Panthers,Buccaneers,
2018,9,2018-11-04,Seahawks,Chargers,
2018,9,2018-11-04,Browns,Chiefs,
2018,9,2018-11-04,Redskins,Falcons,
2018,9,2018-11-04,Dolphins,Jets,
2018,9,2018-11-04,Vikings,Lions,
2018,9,2018-11-04,Patriots,Packers,
2018,9,2018-11-04,Saints,Rams,
2018,9,2018-11-04,Ravens,Steelers,
2018,9,2018-11-04,Broncos,Texans,
2018,9,2018-11-05,Cowboys,Titans,
2018,10,2018-11-08,Steelers,Panthers,
2018,10,2018-11-11,Jets,Bills,
2018,10,2018-11-11,Chiefs,Cardinals,
2018,10,2018-11-11,Raiders,Chargers,
2018,10,2018-11-11,Eagles,Cowboys,
2018,10,2018-11-11,Packers,Dolphins,
2018,10,2018-11-11,Browns,Falcons,
2018,10,2018-11-11,Colts,Jaguars,
2018,10,2018-11-11,Bears,Lions,
2018,10,2018-11-11,Titans,Patriots,
2018,10,2018-11-11,Buccaneers,Redskins,
2018,10,2018-11-11,Bengals,Saints,
2018,10,2018-11-11,Rams,Seahawks,
2018,10,2018-11-12,49ers,Giants,
2018,11,2018-11-15,Seahawks,Packers,
2018,11,2018-11-18,Ravens,Bengals,
2018,11,2018-11-18,Chargers,Broncos,
2018,11,2018-11-18,Giants,Buccaneers,
2018,11,2018-11-18,Falcons,Cowboys,
2018,11,2018-11-18,Saints,Eagles,
2018,11,2018-11-18,Lions,Panthers,
2018,11,2018-11-18,Cardinals,Raiders,
2018,11,2018-11-18,Jaguars,Steelers,
2018,11,2018-11-18,Redskins,Texans,
2018,11,2018-11-18,Colts,Titans,
2018,11,2018-11-18,Bears,Vikings,
2018,11,2018-11-19,Rams,Chiefs,
2018,12,2018-11-22,Lions,Bears,
2018,12,2018-11-22,Saints,Falcons,
2018,12,2018-11-22,Cowboys,Redskins,
2018,12,2018-11-25,Buccaneers,49ers,
2018,12,2018-11-25,Bengals,Browns,
2018,12,2018-11-25,Chargers,Cardinals,
2018,12,2018-11-25,Colts,Dolphins,
2018,12,2018-11-25,Eagles,Giants,
2018,12,2018-11-25,Bills,Jaguars,
2018,12,2018-11-25,Vikings,Packers,
2018,12,2018-11-25,Jets,Patriots,
2018,12,2018-11-25,Ravens,Raiders,
2018,12,2018-11-25,Panthers,Seahawks,
2018,12,2018-11-25,Broncos,Steelers,
2018,12,2018-11-26,Texans,Titans,
2018,13,2018-11-29,Cowboys,Saints,
2018,13,2018-12-02,Seahawks,49ers,
2018,13,2018-12-02,Giants,Bears,
2018,13,2018-12-02,Dolphins,Bills,
2018,13,2018-12-02,Bengals,Broncos,
2018,13,2018-12-02,Texans,Browns,
2018,13,2018-12-02,Packers,Cardinals,
2018,13,2018-12-02,Steelers,Chargers,
2018,13,2018-12-02,Raiders,Chiefs,
2018,13,2018-12-02,Jaguars,Colts,
2018,13,2018-12-02,Titans,Jets,
2018,13,2018-12-02,Buccaneers,Panthers,
