game_id,Season,Week,game_date,game_date_str,AwayTeam,HomeTeam,season_type,week_sort,team,total_plays,offensive_plays,pass_plays,rush_plays,sacks,punts,field_goal_plays,turnovers,penalties,first_downs,touchdowns,scoring_plays,scoring_drives,red_zone_plays,explosive_passes,explosive_runs,drive_count,pass_rate,rush_rate,explosive_play_rate,scoring_drive_rate,home_or_away
2019_2019-11-21_colts_at_texans,2019,Week 12,2019-11-21,2019-11-21,Colts,Texans,regular,12.0,Texans,74,58,32,26,1,2,2,1,5,0,2,7,1,0,3,2,4,0.5517241379310345,0.4482758620689655,0.08620689655172414,0.25,home
2019_2019-11-24_broncos_at_bills,2019,Week 12,2019-11-24,2019-11-24,Broncos,Bills,regular,12.0,Bills,94,73,26,47,1,4,2,1,10,0,2,6,1,0,2,9,7,0.3561643835616438,0.6438356164383562,0.1506849315068493,0.14285714285714285,home
2019_2019-11-24_broncos_at_bills,2019,Week 12,2019-11-24,2019-11-24,Broncos,Bills,regular,12.0,Broncos,66,48,30,18,4,8,1,1,9,0,0,1,1,0,2,2,6,0.625,0.375,0.08333333333333333,0.16666666666666666,away
2019_2019-11-24_buccaneers_at_falcons,2019,Week 12,2019-11-24,2019-11-24,Buccaneers,Falcons,regular,12.0,Buccaneers,88,64,30,34,0,4,1,2,5,0,4,6,1,0,5,5,8,0.46875,0.53125,0.15625,0.125,away
2019_2019-11-24_buccaneers_at_falcons,2019,Week 12,2019-11-24,2019-11-24,Buccaneers,Falcons,regular,12.0,Falcons,105,84,65,19,6,6,3,2,10,0,3,7,1,0,3,1,7,0.7738095238095238,0.2261904761904762,0.047619047619047616,0.14285714285714285,home
2019_2019-11-24_cowboys_at_patriots,2019,Week 12,2019-11-24,2019-11-24,Cowboys,Patriots,regular,12.0,Cowboys,77,63,37,26,0,5,4,1,7,0,0,3,1,0,2,2,6,0.5873015873015873,0.4126984126984127,0.06349206349206349,0.16666666666666666,away
2019_2019-11-24_cowboys_at_patriots,2019,Week 12,2019-11-24,2019-11-24,Cowboys,Patriots,regular,12.0,Patriots,92,68,40,28,2,6,4,0,4,0,1,4,1,0,5,5,6,0.5882352941176471,0.4117647058823529,0.14705882352941177,0.16666666666666666,home
2019_2019-11-24_dolphins_at_browns,2019,Week 12,2019-11-24,2019-11-24,Dolphins,Browns,regular,12.0,Browns,90,74,41,33,1,1,3,2,15,0,5,12,1,0,6,2,6,0.5540540540540541,0.44594594594594594,0.10810810810810811,0.16666666666666666,home
2019_2019-11-24_dolphins_at_browns,2019,Week 12,2019-11-24,2019-11-24,Dolphins,Browns,regular,12.0,Dolphins,82,63,44,19,4,4,1,2,5,0,3,7,1,0,2,2,6,0.6984126984126984,0.30158730158730157,0.06349206349206349,0.16666666666666666,away
2019_2019-11-24_giants_at_bears,2019,Week 12,2019-11-24,2019-11-24,Giants,Bears,regular,12.0,Bears,96,72,46,26,3,6,2,2,11,0,2,5,1,0,3,3,8,0.6388888888888888,0.3611111111111111,0.08333333333333333,0.125,home
