subset,edge_threshold,odds_cap,bets,wins,win_rate,profit_units,roi,avg_edge,avg_edge_raw,avg_model_prob_raw,avg_model_prob_adj,avg_implied_prob,avg_odds,avg_books_used
underdogs_only,0.1,175,7,3.0,0.42857142857142855,-0.56,-0.08,0.1434118414986004,0.23901973583100083,0.677485919867811,0.5818780255354108,0.4384661840368103,130.0,10.428571428571429
dogs_upto_150,0.1,175,5,3.0,0.6,1.44,0.288,0.15768614503367395,0.26281024172279005,0.7245166538577215,0.6193925571686053,0.46170641213493135,116.8,10.4
dogs_150_to_175,0.1,175,2,0.0,0.0,-2.0,-1.0,0.1077260826609166,0.1795434711015277,0.5599090848930353,0.48809169645242423,0.3803656137915076,163.0,10.5
dogs_175_to_200,0.1,175,0,0.0,,0.0,,,,,,,,
all,0.1,200,20,13.0,0.65,3.171391663419849,0.15856958317099246,0.1220357780864618,0.20339296347743638,0.7447521009834964,0.6633949155925218,0.54135913750606,-51.7,10.5
favorites_only,0.1,200,13,10.0,0.7692307692307693,3.7313916634198496,0.287030127955373,0.11052559009531021,0.18420931682551703,0.7809723523534807,0.707288625623274,0.5967630355279637,-149.53846153846155,10.538461538461538
underdogs_only,0.1,200,7,3.0,0.42857142857142855,-0.56,-0.08,0.1434118414986004,0.23901973583100083,0.677485919867811,0.5818780255354108,0.4384661840368103,130.0,10.428571428571429
dogs_upto_150,0.1,200,5,3.0,0.6,1.44,0.288,0.15768614503367395,0.26281024172279005,0.7245166538577215,0.6193925571686053,0.46170641213493135,116.8,10.4
dogs_150_to_175,0.1,200,2,0.0,0.0,-2.0,-1.0,0.1077260826609166,0.1795434711015277,0.5599090848930353,0.48809169645242423,0.3803656137915076,163.0,10.5
dogs_175_to_200,0.1,200,0,0.0,,0.0,,,,,,,,
