game_id,Season,Week,game_date,away_team,home_team,side,closing_odds,model_prob_raw,model_prob_adj,implied_prob,edge_raw,edge,actual_win,profit,books_used
2024_18_Vikings_Lions,2024,18,2025-01-05,Vikings,Lions,home,-155.0,0.5861627550285411,0.5948349079190854,0.6078431372549019,-0.021680382226360817,-0.013008229335816468,1,0.6451612903225806,10
2024_9_Buccaneers_Chiefs,2024,9,2024-11-04,Buccaneers,Chiefs,home,-450.0,0.7950179956038574,0.8042835246350417,0.8181818181818182,-0.02316382257796079,-0.013898293546776519,1,0.2222222222222222,10
2024_15_Rams_49ers,2024,15,2024-12-12,Rams,49ers,away,125.0,0.4212418606198978,0.43052289414971645,0.4444444444444444,-0.023202583824546597,-0.013921550294727969,1,1.25,10
2025_14_Seahawks_Falcons,2025,14,2025-12-07,Seahawks,Falcons,home,266.0,0.2499880214538255,0.2592824303586341,0.273224043715847,-0.02323602226202151,-0.013941613357212945,0,-1.0,11
2024_13_Rams_Saints,2024,13,2024-12-01,Rams,Saints,away,-150.0,0.5755758001398849,0.5853454800839308,0.6,-0.024424199860115126,-0.014654519916069142,1,0.6666666666666666,10
2024_9_Jaguars_Eagles,2024,9,2024-11-03,Jaguars,Eagles,home,-350.0,0.7532346628527332,0.763051908822751,0.7777777777777778,-0.024543114925044573,-0.01472586895502681,1,0.2857142857142857,10
2024_1_Cowboys_Browns,2024,1,2024-09-08,Cowboys,Browns,home,-130.5,0.5413988578570812,0.5513035229571989,0.5661605206073753,-0.024761662750294122,-0.014856997650176451,0,-1.0,10
2024_8_Cardinals_Dolphins,2024,8,2024-10-27,Cardinals,Dolphins,home,-209.0,0.6512509573053682,0.6613007361955187,0.6763754045307443,-0.0251244472253761,-0.015074668335225638,0,-1.0,10
2024_10_Dolphins_Rams,2024,10,2024-11-11,Dolphins,Rams,away,125.0,0.4191855538288447,0.42928911007508463,0.4444444444444444,-0.025258890615599716,-0.015155334369359785,1,1.25,10
2025_14_Seahawks_Falcons,2025,14,2025-12-07,Seahawks,Falcons,away,-345.0,0.7500119785461752,0.7601195466782669,0.7752808988764045,-0.025268920330229316,-0.015161352198137634,0,-1.0,11
2024_4_Bills_Ravens,2024,4,2024-09-29,Bills,Ravens,away,120.0,0.428712085257716,0.4390454329728114,0.45454545454545453,-0.02583336928773855,-0.01550002157264313,0,-1.0,10
2025_17_Rams_Falcons,2025,17,2025-12-29,Rams,Falcons,home,290.0,0.230549232050429,0.24089364179435996,0.2564102564102564,-0.0258610243598274,-0.015516614615896429,0,-1.0,11
2025_11_Seahawks_Rams,2025,11,2025-11-16,Seahawks,Rams,away,145.0,0.3821173175909085,0.39253569667699406,0.40816326530612246,-0.026045947715213957,-0.015627568629128397,0,-1.0,11
2024_18_Chargers_Raiders,2024,18,2025-01-05,Chargers,Raiders,home,260.0,0.2514673087603695,0.2619914963673328,0.2777777777777778,-0.0263104690174083,-0.01578628141044497,0,-1.0,10
2024_16_Cardinals_Panthers,2024,16,2024-12-22,Cardinals,Panthers,away,-240.0,0.6792733199780602,0.6899169331633067,0.7058823529411765,-0.02660903296311634,-0.015965419777869805,0,-1.0,10
2024_9_Raiders_Bengals,2024,9,2024-11-03,Raiders,Bengals,away,290.0,0.2296245010675568,0.24033880320463663,0.2564102564102564,-0.026785755342699585,-0.016071453205619757,0,-1.0,10
2025_5_Buccaneers_Seahawks,2025,5,2025-10-05,Buccaneers,Seahawks,home,-190.0,0.6281228687598277,0.638942686773138,0.6551724137931034,-0.027049545033275724,-0.01622972701996539,0,-1.0,11
2025_12_Panthers_49ers,2025,12,2025-11-24,Panthers,49ers,home,-400.0,0.7729117035865675,0.7837470221519405,0.8,-0.027088296413432578,-0.01625297784805957,0,-1.0,11
2024_19_Broncos_Bills,2024,19,2025-01-12,Broncos,Bills,home,-452.5,0.7918464882703582,0.8027097029169661,0.8190045248868778,-0.02715803661651961,-0.01629482196991172,1,0.22099447513812154,10
2024_3_Chargers_Steelers,2024,3,2024-09-22,Chargers,Steelers,away,123.5,0.4198438090067043,0.4308772026299734,0.44742729306487694,-0.027583484058172625,-0.01655009043490352,0,-1.0,10
2024_7_Texans_Packers,2024,7,2024-10-20,Texans,Packers,home,-170.0,0.60171166377033,0.6128788501140499,0.6296296296296297,-0.02791796585929962,-0.016750779515579794,1,0.5882352941176471,10
2024_17_Cowboys_Eagles,2024,17,2024-12-29,Cowboys,Eagles,home,-367.5,0.7580547874893159,0.7692713751673863,0.786096256684492,-0.02804146919517614,-0.016824881517105705,1,0.272108843537415,10
2025_13_Saints_Dolphins,2025,13,2025-11-30,Saints,Dolphins,away,210.0,0.2943480467046194,0.3056410860872878,0.3225806451612903,-0.02823259845667092,-0.01693955907400252,0,-1.0,11
2025_11_Packers_Giants,2025,11,2025-11-16,Packers,Giants,home,296.0,0.2241150931919818,0.2354791569252901,0.25252525252525254,-0.028410159333270735,-0.017046095599962452,0,-1.0,11
2024_1_Rams_Lions,2024,1,2024-09-08,Rams,Lions,away,182.5,0.3255069726977597,0.3368971039726381,0.35398230088495575,-0.02847532818719606,-0.017085196912317635,0,-1.0,10
2024_3_Panthers_Raiders,2024,3,2024-09-22,Panthers,Raiders,away,202.5,0.3020606349550269,0.3134677859316938,0.3305785123966942,-0.02851787744166734,-0.017110726465000448,1,2.025,10
2024_10_Eagles_Cowboys,2024,10,2024-11-10,Eagles,Cowboys,home,282.5,0.2329014363569097,0.24431602521283866,0.26143790849673204,-0.028536472139822328,-0.017121883283893385,0,-1.0,10
2024_10_Broncos_Chiefs,2024,10,2024-11-10,Broncos,Chiefs,away,292.5,0.2260492524499205,0.23754037949543,0.25477707006369427,-0.02872781761377377,-0.017236690568264268,0,-1.0,10
2024_17_Chargers_Patriots,2024,17,2024-12-28,Chargers,Patriots,home,240.0,0.2649143941159918,0.2765956952931245,0.29411764705882354,-0.029203252942831714,-0.01752195176569904,0,-1.0,10
2024_5_Raiders_Broncos,2024,5,2024-10-06,Raiders,Broncos,home,-154.0,0.5770268246097696,0.5887357798052318,0.6062992125984252,-0.029272387988655613,-0.01756343279319339,1,0.6493506493506493,10
2025_5_Raiders_Colts,2025,5,2025-10-05,Raiders,Colts,home,-360.0,0.7526819248354919,0.7646526331621647,0.782608695652174,-0.029926770816682047,-0.01795606249000925,1,0.2777777777777778,11
2024_9_Saints_Panthers,2024,9,2024-11-03,Saints,Panthers,home,275.0,0.2365319612420367,0.24858584341188872,0.26666666666666666,-0.030134705424629954,-0.018080823254777945,1,2.75,10
2025_7_Dolphins_Browns,2025,7,2025-10-19,Dolphins,Browns,away,120.0,0.4242493650514377,0.4363678008490444,0.45454545454545453,-0.030296089494016853,-0.018177653696410112,0,-1.0,11
2025_8_Giants_Eagles,2025,8,2025-10-26,Giants,Eagles,home,-400.0,0.7692605337111112,0.7815563202266668,0.8,-0.030739466288888795,-0.018443679773333277,1,0.25,11
2024_2_Saints_Cowboys,2024,2,2024-09-15,Saints,Cowboys,home,-285.0,0.7090324377945902,0.7215233587806502,0.7402597402597403,-0.031227302465150042,-0.01873638147909007,0,-1.0,10
