Season,Week,game_date,away_team,home_team,side,odds,model_prob,implied_prob,edge,pred_home_margin,pred_total
2017,Week 4,2017-10-01,Titans,Texans,home,-110,0.8838977527751242,0.5238095238095238,0.3600882289656003,25.688221150549865,69.46990809040459
2019,Week 14,2019-12-08,Dolphins,Jets,home,-110,0.8838247034551907,0.5238095238095238,0.3600151796456668,1.4544125728539763,43.98795116482843
2017,Week 13,2017-12-03,Chiefs,Jets,home,-110,0.8835215835214126,0.5238095238095238,0.3597120597118888,9.14706835349131,68.50954575623032
2018,Week 7,2018-10-21,Bengals,Chiefs,home,-110,0.8819407244389746,0.5238095238095238,0.3581312006294508,17.02743410346361,53.980136319485815
2018,Week 4,2018-09-30,49ers,Chargers,home,-110,0.8811326244394558,0.5238095238095238,0.357323100629932,2.943778709932376,50.107048160859605
2020,Conference Championships,2021-01-24,Bills,Chiefs,home,-110,0.8809274716867189,0.5238095238095238,0.3571179478771951,12.897059350942932,59.18029982133018
2020,Week 8,2020-11-01,49ers,Seahawks,home,-110,0.8808806207115758,0.5238095238095238,0.3570710969020519,8.662024868322442,64.57098125284797
2018,Week 13,2018-12-03,,Eagles,home,-110,0.8805329748589383,0.5238095238095238,0.3567234510494145,12.103918054013931,43.200036470473975
2021,Week 1,2021-09-12,Jets,Panthers,home,-110,0.8798260167028257,0.5238095238095238,0.3560164928933018,11.474699993075806,27.39595330994108
2017,Week 9,2017-11-05,Bengals,Jaguars,home,-110,0.8794576312490026,0.5238095238095238,0.3556481074394787,13.67484846640822,28.23125285654906
2019,Week 1,2019-09-08,,Eagles,home,-110,0.8794381495426394,0.5238095238095238,0.3556286257331156,8.50166212835108,48.08181560777763
2018,Week 1,2018-09-09,Bills,Ravens,home,-110,0.8792778381343386,0.5238095238095238,0.3554683143248147,18.262820408626823,51.57693945804303
2019,Week 3,2019-09-22,Steelers,49ers,home,-110,0.8790914158761486,0.5238095238095238,0.3552818920666247,9.413027547956045,45.8508191542063
2019,Week 14,2019-12-05,Cowboys,Bears,home,-110,0.8784522040627042,0.5238095238095238,0.3546426802531803,7.803499714139329,56.30134220973432
2018,Week 2,2018-09-16,Eagles,Buccaneers,home,-110,0.8782673723245662,0.5238095238095238,0.3544578485150423,6.62166381633372,49.10332417991884
2017,Week 13,2017-12-03,Colts,Jaguars,home,-110,0.8779480649040079,0.5238095238095238,0.354138541094484,16.458083054790382,36.19938554894717
2017,Week 13,2017-12-03,Eagles,Seahawks,home,-110,0.877856095744264,0.5238095238095238,0.3540465719347402,10.467447892663618,36.8286440874454
2018,Week 13,2018-11-29,Saints,Cowboys,home,-110,0.8776789503202186,0.5238095238095238,0.3538694265106947,6.60137638567748,23.48503319824174
2020,Week 4,2020-10-04,Cardinals,Panthers,home,-110,0.8775477158789061,0.5238095238095238,0.3537381920693823,10.194012355030392,53.06629329605543
2020,Week 16,2020-12-27,Titans,Packers,home,-110,0.8771449904403241,0.5238095238095238,0.3533354666308003,20.922317413554765,54.1147092452783
2020,Week 6,2020-10-18,Jets,Dolphins,home,-110,0.8739253179203638,0.5238095238095238,0.3501157941108399,17.309186206363865,24.835999818572542
2019,Wild Card,2020-01-04,Bills,Texans,home,-110,0.8722135304110471,0.5238095238095238,0.3484040066015232,5.622956302253664,35.7994692209589
2019,Week 7,2019-10-20,Eagles,Cowboys,home,-110,0.8718378779717139,0.5238095238095238,0.34802835416219,19.289334821054982,50.32081766869396
2019,Week 12,2019-11-24,Packers,49ers,home,-110,0.8699161365842449,0.5238095238095238,0.3461066127747211,17.538756085360976,44.78018603792718
2018,Week 4,2018-09-30,Jets,Jaguars,home,-110,0.8696151602385364,0.5238095238095238,0.3458056364290125,15.46868413618442,41.23678239016745
2018,Week 3,2018-09-23,Broncos,Ravens,home,-110,0.8693698768472115,0.5238095238095238,0.3455603530376876,8.958115398430543,43.92009683005941
2020,Week 4,2020-10-05,Falcons,Packers,home,-110,0.8688949966565616,0.5238095238095238,0.3450854728470377,10.764713640102975,44.16766444636155
2018,Week 5,2018-10-07,Titans,Bills,home,-110,0.868329170668095,0.5238095238095238,0.3445196468585711,9.732945520417704,25.480275982465105
