game_id,Season,week_num,Date,AwayTeam,HomeTeam,home_score,away_score,margin,total_points,home_win,away_win,PostSeason
2025_17_Steelers_Browns,2025,17,12/28,Steelers,Browns,0.0,0.0,0.0,0.0,0,0,0
2025_17_Jaguars_Colts,2025,17,12/28,Jaguars,Colts,0.0,0.0,0.0,0.0,0,0,0
2025_17_Buccaneers_Dolphins,2025,17,12/28,Buccaneers,Dolphins,0.0,0.0,0.0,0.0,0,0,0
2025_17_Patriots_Jets,2025,17,12/28,Patriots,Jets,0.0,0.0,0.0,0.0,0,0,0
2025_17_Saints_Titans,2025,17,12/28,Saints,Titans,0.0,0.0,0.0,0.0,0,0,0
2025_17_Eagles_Bills,2025,17,12/28,Eagles,Bills,0.0,0.0,0.0,0.0,0,0,0
2025_17_Bears_49ers,2025,17,12/28,Bears,49ers,0.0,0.0,0.0,0.0,0,0,0
2025_17_Rams_Falcons,2025,17,12/29,Rams,Falcons,0.0,0.0,0.0,0.0,0,0,0
2025_17_Seahawks_Panthers,2025,17,TBD,Seahawks,Panthers,0.0,0.0,0.0,0.0,0,0,0
2025_17_Cardinals_Bengals,2025,17,TBD,Cardinals,Bengals,0.0,0.0,0.0,0.0,0,0,0
2025_17_Ravens_Packers,2025,17,TBD,Ravens,Packers,0.0,0.0,0.0,0.0,0,0,0
2025_17_Texans_Chargers,2025,17,TBD,Texans,Chargers,0.0,0.0,0.0,0.0,0,0,0
2025_17_Giants_Raiders,2025,17,TBD,Giants,Raiders,0.0,0.0,0.0,0.0,0,0,0
