season,shrink_factor,edge_threshold,bets,profit_units,roi,win_rate,avg_raw_model_prob,avg_model_prob,avg_implied_prob,avg_edge,avg_odds
2024,0.9,0.08,11,3.6602954840472774,0.33275413491338884,0.7272727272727273,0.6896011907105849,0.6706410716395266,0.5461440682562005,0.12449700338332605,-67.54545454545455
2024,0.9,0.09,10,2.7674383411901347,0.2767438341190135,0.7,0.6959751275011309,0.6763776147510179,0.5479282864025753,0.12844932834844253,-63.1
2024,0.9,0.1,9,3.767438341190134,0.4186042601322371,0.7777777777777778,0.6989217903878655,0.679029611349079,0.5466457220429985,0.13238388930608044,-56.0
2024,0.9,0.12,7,2.3864859602377537,0.34092656574825053,0.7142857142857143,0.6914628398525172,0.6723165558672655,0.5337825950076648,0.13853396085960076,-30.571428571428573
2025,0.9,0.05,15,-0.24273249807148156,-0.01618216653809877,0.5333333333333333,0.6530009229217529,0.6377008306295775,0.5381659383003822,0.09953489232919538,-64.7
2025,0.9,0.08,10,-2.3802334152334153,-0.23802334152334154,0.4,0.661434016096586,0.6452906144869275,0.530483104446238,0.11480751004068937,-34.45
2025,0.9,0.09,9,-3.2893243243243244,-0.3654804804804805,0.3333333333333333,0.6659135391151884,0.6493221852036695,0.531224613405873,0.11809757179779656,-26.055555555555557
2025,0.9,0.1,8,-4.289324324324324,-0.5361655405405406,0.25,0.672921730108977,0.6556295570980794,0.5351276900816071,0.12050186701647222,-41.8125
2025,0.9,0.12,4,-4.0,-1.0,0.0,0.6817247218363645,0.663552249652728,0.5312740395493009,0.13227821010342716,-15.0
all,1.0,0.05,45,7.659560027863607,0.17021244506363573,0.6444444444444445,0.6546713417383837,0.6546713417383837,0.5531070935558399,0.1015642481825438,-94.08888888888889
all,1.0,0.08,27,4.209069122110833,0.15589144896706789,0.6296296296296297,0.6683564679627968,0.6683564679627968,0.5421134084219066,0.12624305954089018,-68.0925925925926
all,1.0,0.09,23,2.676655742779799,0.11637633664259994,0.6086956521739131,0.6767645916484,0.6767645916484,0.5430641246526323,0.13370046699576757,-59.76086956521739
all,1.0,0.1,19,-0.5218859831341895,-0.02746768332285208,0.5263157894736842,0.6817354277393688,0.6817354277393688,0.5400160202462427,0.14171940749312606,-45.55263157894737
all,1.0,0.12,15,-0.5568859831341901,-0.03712573220894601,0.5333333333333333,0.6958931360292137,0.6958931360292137,0.5464824937125422,0.1494106423166714,-55.8
2024,1.0,0.05,22,12.32104252593509,0.560047387542504,0.8636363636363636,0.6617944107855257,0.6617944107855257,0.5532870036487674,0.1085074071367585,-97.8409090909091
2024,1.0,0.08,14,6.0751782435589385,0.43394130311135276,0.7857142857142857,0.6790934525986785,0.6790934525986785,0.5479797007163286,0.13111375188234975,-79.85714285714286
2024,1.0,0.09,12,4.390222491346548,0.365851874278879,0.75,0.6879644266149807,0.6879644266149807,0.5488036518790136,0.13916077473596714,-73.33333333333333
2024,1.0,0.1,10,2.7674383411901347,0.2767438341190135,0.7,0.6959751275011309,0.6959751275011309,0.5479282864025753,0.14804684109855565,-63.1
2024,1.0,0.12,9,3.767438341190134,0.4186042601322371,0.7777777777777778,0.6989217903878655,0.6989217903878655,0.5466457220429985,0.15227606834486704,-56.0
2025,1.0,0.05,23,-4.661482498071481,-0.2026731520900644,0.43478260869565216,0.6478579713454651,0.6478579713454651,0.5529350056408658,0.09492296570459934,-90.5
2025,1.0,0.08,13,-1.8661091214481047,-0.14354685549600804,0.46153846153846156,0.6567935614318472,0.6567935614318472,0.5357958628740673,0.12099769855777988,-55.42307692307692
2025,1.0,0.09,11,-1.7135667485667487,-0.15577879532424987,0.45454545454545453,0.6645465898666754,0.6645465898666754,0.5368028222238528,0.1277437676428226,-44.95454545454545
2025,1.0,0.1,9,-3.2893243243243244,-0.3654804804804805,0.3333333333333333,0.6659135391151884,0.6659135391151884,0.531224613405873,0.13468892570931543,-26.055555555555557
2025,1.0,0.12,6,-4.324324324324325,-0.7207207207207208,0.16666666666666666,0.6913501544912357,0.6913501544912357,0.5462376512168577,0.14511250327437794,-55.5
